AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3,质量指标
23,8,12,20,8,12,0.86,36,100.18
22,6,9,16,8,10,0.71,41,100
28,29,12,26,9,13,0.7,41,99.92
36,62,17,34,12,14,0.75,40,99.72
34,62,15,31,12,11,0.72,50,99.67
38,81,19,38,12,17,0.81,45,99.8
35,60,16,34,11,13,0.86,48,99.92
56,201,34,60,20,18,1.05,50,79.39
46,114,27,47,11,18,0.91,42,100.08
54,200,35,55,13,22,1.01,33,80.06
52,160,31,52,14,21,0.9,41,79.81
79,323,47,80,25,26,0.91,76,78.88
96,349,68,110,36,30,1.11,86,78.19
68,284,48,72,29,18,0.87,79,78.45
70,308,50,71,30,16,0.92,92,78.42
56,258,35,58,31,19,0.82,71,78.07
60,255,36,63,35,19,0.81,71,77.67
71,266,49,82,21,25,0.91,68,79.3
50,105,31,48,14,16,0.88,66,99.79
48,123,27,47,18,19,0.89,53,99.36
41,92,21,37,10,14,0.77,58,99.98
37,53,20,35,11,14,0.83,50,99.93
39,73,20,38,16,19,0.83,43,99.43
55,147,28,60,13,24,1.02,44,80
46,115,27,45,11,17,0.89,59,100.06
35,37,21,31,30,14,1.03,51,98.24
51,145,31,53,33,19,1.04,65,78.05
79,287,56,91,34,24,1.06,68,78.22
91,344,63,107,37,27,1.05,84,77.98
91,349,62,100,36,25,1.02,97,78.04
96,349,69,103,33,19,1.05,118,78.44
112,343,83,112,31,16,1.14,92,58.87
112,341,83,108,32,17,1.15,87,58.78
87,295,63,89,21,18,1,70,79.53
32,44,16,26,19,14,0.96,57,99.22
38,70,14,24,16,9,0.86,72,99.4
47,114,24,46,25,13,0.87,60,98.61
58,202,36,66,25,15,0.94,59,78.8
30,54,15,27,12,13,0.81,48,99.76
33,62,16,31,13,17,0.75,34,99.61
33,52,17,31,12,14,0.73,41,99.7
40,99,21,39,10,16,0.77,47,99.98
40,100,19,38,10,11,0.75,58,99.94
32,24,17,28,13,13,0.77,54,99.64
59,193,38,66,33,19,0.94,43,78.02
75,295,53,76,37,21,1.09,56,77.92
95,341,70,101,29,19,1.16,75,78.96
104,359,77,116,23,30,1.27,72,59.74
64,269,44,67,31,24,1.22,61,78.56
52,139,36,50,41,20,0.9,59,77.16
72,269,51,76,36,18,0.98,74,77.89
74,257,50,79,31,18,0.88,95,78.28
93,322,68,101,29,17,0.95,122,78.73
101,326,74,109,29,17,1.02,124,58.86
99,315,73,103,29,30,1.36,75,79.19
45,102,25,45,14,25,0.97,33,99.82
36,54,18,35,33,18,1.17,45,98.05
51,127,33,53,26,16,1.09,65,78.82
65,244,46,64,25,23,1.26,40,79.22
62,248,40,65,19,23,1.23,43,79.73
56,212,34,65,12,23,1.01,41,80.15
48,148,28,49,15,20,1.04,46,99.82
35,50,22,34,30,17,1.07,43,98.29
55,160,38,52,29,12,1.11,68,78.59
61,227,42,59,20,11,0.93,76,79.35
75,301,53,82,20,18,0.9,95,79.43
79,310,54,88,25,25,1.04,91,79.08
75,281,54,76,18,13,0.92,92,79.66
74,225,49,78,22,17,0.88,98,79.17
69,186,44,79,26,18,0.83,93,78.67
79,234,57,86,32,18,1.03,100,78.4
47,123,29,36,18,16,1.13,75,99.62
45,104,28,43,32,22,1.28,52,98.36
56,202,37,58,30,22,1.31,44,78.68
49,184,30,47,26,15,1.08,59,98.78
70,281,50,70,25,17,0.95,79,78.95
46,144,30,43,27,20,0.85,59,98.45
56,183,35,60,22,19,0.83,61,78.98
66,194,40,81,26,30,0.87,66,78.67
77,187,55,91,40,30,1.04,70,77.59
76,132,55,89,37,30,1.06,76,77.91
88,167,62,110,39,33,1.03,66,77.75
93,177,66,113,37,37,1.02,67,77.98
97,207,66,121,45,38,1.07,74,77.23
101,269,75,128,47,37,1.12,78,57.17
120,311,90,138,44,37,1.19,84,57.69
121,301,91,147,46,40,1.21,87,57.52
129,317,97,149,41,41,1.22,90,58.09
130,330,97,152,59,43,1.3,77,56.37
131,313,98,159,65,41,1.23,75,55.71
106,278,77,125,31,41,1.13,73,58.8
122,326,92,147,39,46,1.22,63,58.24
93,281,65,102,14,32,1.03,70,80.28
80,314,56,103,24,29,1.08,61,79.24
70,206,50,76,22,22,1.14,62,79.44
60,198,39,65,15,25,0.98,36,79.87
40,70,27,42,41,20,1.19,25,97.36
43,114,30,40,26,23,1.38,32,99.08
42,98,28,39,33,20,1.25,43,98.23
72,176,51,82,32,32,1.11,52,78.42
74,146,53,80,43,30,1.03,46,77.26
87,183,63,98,33,31,1.21,33,78.54
121,298,91,137,30,44,1.71,47,59.62
85,298,61,96,16,37,1.24,42,80.25
48,171,31,48,9,27,1,32,100.41
51,119,33,50,14,25,1.11,23,80.04
36,40,22,34,28,16,1.19,42,98.61
38,39,23,32,14,15,1.11,49,99.94
22,7,10,19,13,15,1.23,34,100.03
20,14,12,17,17,17,1.42,30,99.84
32,52,20,30,24,18,1.47,32,99.27
49,98,32,48,28,19,1.26,33,98.78
78,215,57,87,26,31,1.55,18,79.52
58,159,40,56,14,29,1.38,21,80.38
31,48,16,31,9,15,0.7,41,99.96
49,156,29,50,26,25,1.17,24,98.86
53,147,33,55,55,16,1.38,32,76.21
41,53,24,41,28,21,1.55,24,98.99
45,81,27,46,36,23,1.27,40,97.94
50,187,32,50,19,20,1.12,54,99.54
61,276,42,65,42,24,1.13,56,77.35
57,277,39,56,20,23,1.3,34,79.69
32,53,18,33,46,22,1.52,22,97.1
41,97,25,40,32,17,0.97,59,98.02
52,110,33,51,21,15,0.86,60,79.09
69,142,49,61,30,21,1.07,28,78.56
36,14,23,39,23,21,1.25,32,99.18
52,61,35,53,21,21,1.22,40,79.47
59,91,41,52,18,21,1.24,24,79.85
40,35,27,38,34,17,1.13,18,98
57,174,37,62,32,17,0.87,55,78.04
54,142,33,56,31,17,0.81,50,78.04
24,17,11,17,24,17,0.85,39,98.56
26,40,14,23,30,14,0.78,45,97.92
44,71,29,45,25,23,0.8,34,98.59
56,101,39,52,17,17,0.78,41,79.47
40,56,26,37,31,21,0.99,19,98.15
49,84,34,46,30,19,0.96,23,98.3
59,141,41,55,26,19,0.95,35,78.76
37,34,25,34,21,16,0.97,30,99.12
34,26,23,30,34,22,1.67,14,98.5
44,77,30,40,32,20,1.83,26,98.93
53,141,36,48,30,19,1.3,35,78.66
59,220,36,59,33,20,1.08,57,78.14
53,140,25,54,26,14,0.6,77,78.25
56,97,33,59,29,19,0.65,70,78.08
68,134,48,76,48,24,0.83,51,76.51
92,162,68,90,46,30,1.12,36,77.2
150,227,113,168,45,58,1.68,43,58.31
130,194,97,124,23,57,1.89,13,60.56
55,63,38,49,13,30,1.33,16,80.41
39,34,23,37,28,20,1.22,29,98.65
81,169,60,78,39,25,1.24,53,77.94
92,196,68,84,33,28,1.07,59,78.45
94,236,69,95,37,31,1.11,44,78.1
91,194,67,92,42,25,0.99,72,77.46
73,106,53,64,21,20,1.14,52,79.57
75,116,54,62,30,24,1.37,35,78.91
89,131,65,84,25,24,1.28,50,79.43
119,183,89,129,55,39,1.6,33,56.99
125,178,94,143,54,47,1.87,28,57.41
131,191,99,149,48,52,1.94,29,58.13
104,187,77,120,21,48,1.59,37,60.26
118,286,88,122,28,38,1.56,32,59.64
44,65,26,43,27,19,1.4,60,98.96
53,117,36,51,19,22,1.69,47,80.15
35,27,23,32,27,21,1.7,22,99.23
35,20,23,32,27,20,1.6,18,99.13
34,24,21,32,35,21,1.6,17,98.31
29,33,19,28,29,17,1.47,31,98.76
38,62,25,35,19,15,1.14,47,99.49
57,125,40,50,35,20,1.65,29,78.55
43,27,30,40,33,20,1.86,14,98.86
30,16,20,28,29,20,1.64,23,98.94
61,98,42,63,37,30,1.52,17,78.24
36,37,23,34,24,17,1.27,40,99.1
59,128,42,61,16,21,0.95,67,79.77
85,176,62,94,21,26,0.98,66,79.5
126,325,95,119,22,32,1.29,46,60.04
33,44,22,31,19,19,1.2,26,99.52
36,72,24,32,23,17,0.98,30,98.92
76,282,55,63,36,22,0.96,55,77.91
52,141,30,53,24,15,0.73,70,78.63
69,222,49,82,23,24,0.78,73,78.97
66,138,47,68,22,33,0.81,52,79.08
83,184,60,81,19,34,1,33,79.7
74,163,54,79,22,33,1.34,13,79.68
40,69,27,36,20,18,1.16,25,99.43
67,168,48,62,17,20,1.07,49,79.85
50,116,35,41,20,20,1.19,41,99.54
48,87,33,42,30,23,1.64,39,98.97
106,221,79,92,28,23,1.47,57,59.46
93,166,69,85,14,20,1.16,67,80.45
94,214,69,82,15,17,1.21,64,80.4
72,166,52,66,22,20,1.16,59,79.48
80,243,58,79,27,16,1.05,100,78.93
131,324,99,132,34,25,1.36,81,58.95
235,313,195,228,75,27,1.17,60,35.62
115,272,86,112,20,22,0.95,68,59.81
107,265,80,104,14,22,0.98,64,60.38
62,152,43,58,9,13,0.82,73,80.35
51,83,32,51,8,8,0.78,87,80.3
94,340,69,85,15,20,1.1,83,80.29
39,159,24,37,33,16,1.17,42,98.11
41,130,27,40,34,15,0.73,56,97.6
51,194,30,53,15,17,0.7,70,79.5
67,226,47,74,27,31,0.89,64,78.66
90,273,66,100,29,41,1.04,62,78.8
181,336,140,185,37,59,1.45,35,39.15
97,225,69,111,35,27,1.01,81,78.2
111,288,82,146,27,42,1.09,50,59.21
42,24,28,37,22,18,1.08,51,99.16
39,61,26,34,29,19,1.08,42,98.44
53,111,37,49,43,26,1.12,44,77.19
106,272,79,102,30,26,1.07,38,58.86
54,109,37,50,23,19,1.08,47,79.15
88,259,63,99,41,33,1.7,20,78.23
107,287,79,134,48,44,2.15,36,58.14
102,288,74,127,31,40,1.49,55,59.13
116,319,85,151,38,51,1.25,72,58.3
123,276,91,144,23,49,1.13,69,59.74
131,267,98,160,24,53,1.18,42,59.76
170,287,130,179,29,49,1.35,39,39.75
154,255,116,169,28,48,1.36,26,39.72
154,264,116,147,23,33,1.15,41,40.01
89,191,65,86,14,27,0.89,44,80.14
59,185,42,59,10,22,0.8,47,80.22
40,125,26,40,17,20,0.96,42,99.52
28,37,15,26,30,16,0.88,49,98.03
57,131,40,48,22,16,0.74,70,78.94
80,189,58,70,16,29,0.92,44,79.9
44,58,30,40,23,19,1.03,45,99.03
75,142,54,74,26,24,1.02,68,78.96
122,284,92,125,30,52,1.21,33,59.13
69,112,50,53,9,24,1.06,37,80.66
41,28,28,36,8,28,1.15,21,100.63
57,59,40,60,18,29,1.4,28,80
94,193,69,94,21,38,1.6,25,80.19
116,284,87,115,24,38,1.74,9,60.21
45,59,30,42,18,23,1.14,43,99.64
37,43,23,34,14,22,1.25,30,100.08
28,19,15,24,23,19,1.15,54,99
69,269,49,61,30,23,1.1,70,78.59
72,253,52,70,26,24,0.99,72,78.91
97,319,72,106,29,34,1.12,61,78.94
78,205,56,79,30,25,0.93,72,78.49
111,325,83,128,32,51,1.14,32,58.77
157,364,118,169,36,54,1.34,27,38.92
129,337,96,111,16,36,1.41,26,60.77
91,224,67,97,24,32,1.51,35,79.78
111,284,83,126,15,37,1.62,24,60.95
81,196,58,98,12,35,1.37,21,80.75
57,187,38,57,9,16,0.95,55,80.43
46,77,28,42,12,11,0.92,67,100
73,247,52,82,21,28,1.22,28,79.64
50,156,28,51,8,11,0.81,60,100.29
43,90,27,40,16,19,1.02,36,99.69
36,32,23,36,19,20,1.22,47,99.55
59,155,40,60,20,21,1.15,58,79.55
43,71,21,32,18,15,0.99,76,99.4
43,44,26,42,22,18,1.29,62,99.35
51,62,35,47,14,28,1.27,32,80.22
38,20,24,38,19,21,1.27,46,99.61
61,110,42,64,25,19,1.15,52,79.07
91,266,67,100,20,22,1.23,67,79.9
94,334,68,101,16,21,1.21,104,80.29
72,276,49,75,23,28,1.17,52,79.36
49,114,17,33,33,19,0.9,89,97.77
75,267,52,80,19,37,1.13,39,79.75
45,59,21,31,7,13,0.92,81,100.43
58,132,38,56,22,21,0.97,58,79.15
41,37,19,31,9,16,0.81,81,100.1
54,152,36,50,15,22,1,53,79.86
33,18,20,30,24,16,0.91,47,98.71
42,56,28,39,16,16,0.9,49,99.58
57,162,38,60,28,19,1.04,43,78.62
45,57,24,45,26,19,1.03,53,98.67
67,180,46,75,27,24,1.03,55,78.79
76,183,55,78,27,19,0.96,67,78.81
52,43,36,50,12,16,0.91,55,80.07
77,180,55,85,16,27,1.21,28,80.16
66,186,46,68,10,22,1.08,49,80.54
68,228,44,76,13,21,1.03,60,80.17
64,146,42,73,11,24,0.96,56,80.28
45,49,27,44,8,10,0.73,65,100.2
40,39,15,29,9,13,0.73,74,99.98
56,156,36,60,11,20,0.88,61,80.14
38,43,19,30,12,15,0.93,60,99.92
49,91,31,51,23,19,1.15,38,99.16
40,59,21,37,32,21,1.09,62,98.1
75,157,48,85,26,31,1.09,85,78.97
83,199,61,99,18,37,1.19,60,80
89,314,65,86,20,29,1.28,51,79.93
54,127,35,52,10,20,0.97,68,80.32
38,31,19,34,19,18,0.96,50,99.25
70,247,33,87,26,21,0.81,78,78.54
78,227,46,101,23,33,0.88,81,79.04
77,185,53,91,16,37,1,46,79.93
59,79,39,56,12,26,0.96,48,80.15
30,14,15,27,18,13,1.03,50,99.38
42,101,21,35,25,15,1.13,76,98.84
47,131,30,43,19,11,0.8,86,99.2
52,137,35,49,23,17,0.83,53,78.88
35,23,22,33,17,20,0.96,30,99.48
112,344,84,110,32,37,1.78,51,59.42
69,252,46,67,12,24,1.21,45,80.47
43,94,22,39,9,15,0.8,71,100.12
34,48,18,29,10,16,0.93,39,100.11
42,79,20,41,24,15,1.04,25,98.84
54,112,30,56,23,20,1.04,53,79.04
41,63,18,38,9,13,0.75,65,100.03
41,73,17,34,10,11,0.71,79,99.88
51,145,21,40,9,10,0.75,93,80.06
41,83,21,38,15,16,0.87,59,99.58
28,7,15,26,15,14,0.95,44,99.6
42,63,21,38,15,14,0.88,56,99.59
48,79,25,44,10,19,0.86,79,100.11
65,199,43,70,17,30,1.07,59,79.8
43,66,26,40,11,24,0.99,45,100.15
41,59,25,36,12,16,1.04,52,100.09
47,119,28,42,13,15,1.01,56,99.99
37,82,21,34,8,19,0.98,45,100.39
34,65,21,32,10,19,1,32,100.21
49,123,32,48,15,21,1.2,54,100.02
36,46,16,26,6,18,0.88,60,100.44
42,98,22,42,10,24,1.05,44,100.27
35,44,18,28,15,17,0.84,67,99.52
52,125,32,49,15,26,1,48,79.82
40,96,21,36,9,16,0.83,58,100.14
33,66,17,31,10,14,0.72,55,99.89
29,56,17,28,9,10,0.61,53,99.88
34,56,18,33,11,13,0.7,56,99.78
39,92,21,37,13,15,0.7,56,99.61
33,62,15,31,12,12,0.69,56,99.64
33,73,14,30,11,13,0.72,58,99.76
37,85,16,33,12,14,0.69,64,99.65
50,161,23,49,16,20,0.77,57,99.4
40,94,18,39,12,15,0.71,61,99.69
44,115,18,45,14,22,0.75,51,99.53
47,152,23,46,10,14,0.7,61,99.93
29,58,12,26,6,13,0.71,42,100.23
25,42,10,19,6,10,0.73,44,100.23
27,44,12,24,7,14,0.77,39,100.19
28,61,13,24,6,12,0.75,45,100.28
23,26,10,20,6,10,0.71,40,100.21
21,13,9,19,7,13,0.75,33,100.14
30,61,12,27,8,13,0.75,40,100.07
53,215,25,53,16,20,0.94,59,79.59
73,310,41,77,19,28,1.03,74,79.54
78,319,42,80,16,29,1.02,84,79.84
73,298,45,79,10,24,0.99,83,80.44
60,245,42,63,10,17,1.06,73,80.48
51,190,28,48,12,14,0.89,76,79.97
38,88,19,36,8,12,0.82,62,100.21
33,70,15,28,8,10,0.79,58,100.14
32,40,13,29,8,10,0.81,51,100.14
36,70,16,34,7,10,0.84,59,100.3
39,89,18,37,7,10,0.84,65,100.32
42,118,23,41,8,8,0.88,69,100.31
39,111,19,38,8,9,0.84,64,100.23
42,164,22,41,7,10,0.83,66,100.35
38,106,20,37,8,10,0.82,58,100.22
40,101,21,38,9,11,0.83,62,100.14
43,103,24,41,9,12,0.83,66,100.17
42,83,23,41,8,12,0.8,61,100.23
56,172,32,59,11,22,0.9,68,80.12
77,307,51,88,21,26,1.08,79,79.49
60,191,37,61,13,18,0.93,64,80
41,64,19,41,9,13,0.81,52,100.1
44,79,22,44,17,18,0.96,51,99.48
66,215,36,67,20,23,1.15,74,79.51
73,295,46,90,26,29,1.23,74,79.09
64,263,41,67,23,21,1.14,81,79.25
62,281,43,67,24,19,1.2,65,79.23
29,55,11,18,7,9,0.83,57,100.24
32,71,15,29,8,12,0.79,50,100.14
35,89,16,32,8,13,0.76,57,100.12
50,182,28,51,9,20,0.87,58,100.25
53,249,31,54,14,23,1.14,59,80.05
67,327,44,68,22,24,1.35,82,79.59
58,260,35,59,13,24,1.1,74,80.15
61,268,41,65,24,25,1.35,51,79.36
48,182,28,46,10,16,1,67,100.28
56,223,35,59,18,23,1.14,52,79.69
36,84,17,31,10,18,1.07,52,100.24
50,203,30,52,22,22,1.23,44,99.33
35,83,18,32,16,12,0.85,50,99.43
49,156,30,52,19,14,1.05,51,99.45
55,162,36,57,17,14,0.9,53,79.56
51,167,28,52,20,13,0.85,66,79.13
31,35,10,25,9,8,0.66,57,99.86
46,125,19,44,15,16,0.77,55,99.46
58,197,30,63,26,25,1.02,50,78.72
55,146,34,54,14,17,0.97,63,79.91
69,249,44,68,18,19,1.13,77,79.77
83,293,55,94,30,31,1.33,90,78.88
85,312,63,98,16,27,1.3,71,80.33
56,287,38,62,16,23,1.09,53,79.87
40,76,27,39,25,13,0.94,57,98.71
48,122,28,47,23,16,0.96,83,98.94
71,263,40,72,28,20,0.9,107,78.5
88,328,57,100,34,31,1.09,107,78.26
86,283,62,106,18,34,1.05,75,79.87
42,111,27,41,15,21,1.04,49,99.81
50,135,32,52,18,21,0.99,52,99.51
77,241,55,89,32,29,1.12,65,78.47
79,247,57,84,33,19,1.02,84,78.29
93,293,69,95,19,13,0.95,112,79.74
106,338,79,110,34,18,1.02,94,58.41
101,362,75,108,40,23,1.12,90,57.87
110,362,82,121,34,26,1.1,87,58.52
57,170,37,54,10,17,0.93,63,80.3
31,47,19,29,18,20,1.01,38,99.4
30,49,17,27,18,16,1,54,99.37
41,76,24,39,18,15,1,58,99.44
53,120,35,54,24,16,0.96,60,78.91
61,184,39,63,24,18,0.85,84,78.84
69,255,49,73,31,18,0.88,88,78.27
71,278,50,74,27,15,0.8,97,78.6
62,247,41,65,26,15,0.69,81,78.5
58,227,39,63,41,20,0.72,63,77.01
61,266,38,63,26,15,0.65,95,78.43
76,315,53,91,31,14,0.8,115,78.23
87,305,62,105,30,17,0.78,112,78.4
94,307,68,116,38,26,0.82,100,77.7
102,317,74,126,40,33,0.87,104,57.61
102,306,70,114,30,35,0.87,82,58.57
58,136,36,62,11,24,0.68,59,79.94
59,146,33,69,16,27,0.76,51,79.49
75,273,52,93,30,26,0.96,58,78.48
78,345,56,80,29,16,1.14,80,78.8
40,125,22,37,29,15,1.01,71,98.33
39,98,21,38,12,11,0.74,67,99.75
41,73,26,38,15,10,0.81,67,99.57
55,185,34,59,21,18,0.96,64,79.2
62,216,42,70,19,24,1.01,56,79.53
66,231,41,77,23,25,0.9,76,79.01
69,237,47,80,23,20,0.87,87,79.04
74,266,50,87,27,24,0.95,89,78.75
91,334,67,105,33,27,1.03,75,78.4
85,347,62,86,23,16,0.88,80,79.2
69,304,47,68,17,11,0.83,103,79.6
71,287,48,76,17,13,0.83,111,79.61
76,297,54,88,34,20,0.98,107,78.12
82,282,60,86,31,20,1.05,87,78.55
76,252,54,72,23,16,0.89,72,79.13
62,194,40,60,27,18,1,70,78.7
53,140,32,54,11,15,0.9,79,80.12
59,162,41,61,14,13,0.89,73,79.9
73,244,53,73,25,16,1,66,79.03
69,193,49,65,26,19,1.07,55,78.96
37,76,25,33,9,16,0.98,36,100.33
23,10,12,21,5,14,0.98,28,100.6
39,133,24,37,24,17,1.32,32,99.16
55,268,37,61,28,26,1.21,44,78.78
48,234,30,50,15,19,0.99,56,99.79
54,218,34,59,9,25,1.02,47,80.46
45,125,27,46,7,21,0.9,29,100.47
33,62,15,32,5,16,0.75,31,100.4
49,206,26,52,8,24,0.79,34,100.25
59,291,38,65,14,24,0.88,48,79.86
32,83,19,30,39,19,1.15,27,97.44
40,91,25,39,35,19,1.04,33,97.79
47,177,29,48,34,20,1.11,28,98
34,61,22,32,33,16,1.16,27,98.08
38,61,25,36,29,14,1.02,35,98.37
51,93,31,56,19,17,0.92,52,79.33
94,233,68,121,55,48,1.56,51,76.74
89,165,65,110,16,43,1.15,57,80.2
120,241,90,142,15,48,1.28,41,60.68
114,292,85,130,14,37,1.23,42,60.68
36,74,21,35,27,19,1.41,29,98.92
22,24,12,21,16,18,1.01,28,99.53
27,36,15,24,10,12,0.77,51,99.92
44,64,27,43,12,20,0.87,47,99.94
36,21,24,33,5,27,1.11,14,100.85
45,42,30,45,8,30,1.4,10,100.9
56,72,35,60,6,27,1.14,18,80.89
50,63,30,52,13,21,1.09,22,100.09
61,107,38,69,15,28,1.09,30,79.97
74,174,50,90,10,33,0.99,35,80.49
75,154,52,94,12,37,0.92,38,80.24
71,133,51,75,9,39,1.03,16,80.64
45,72,28,44,7,25,0.96,21,100.54
46,134,30,46,8,25,1.14,29,100.64
33,86,20,28,6,15,1.2,37,100.8
22,57,11,20,22,16,0.98,20,98.89
37,79,23,35,27,15,0.79,30,98.32
36,50,24,30,19,16,0.77,26,99.11
31,51,18,28,21,15,0.8,44,98.88
48,63,30,49,34,23,0.77,56,97.67
62,94,41,71,31,27,0.76,72,78.07
71,142,49,87,30,26,0.82,71,78.31
54,54,38,51,28,20,0.93,56,78.51
51,80,32,54,28,22,0.75,51,78.27
69,110,48,82,24,26,0.83,51,78.91
91,147,67,102,28,29,0.97,43,78.84
77,102,55,88,30,30,1.11,40,78.66
100,201,74,126,30,39,1.13,23,78.87
85,182,59,101,26,37,0.91,56,78.9
107,184,79,142,41,53,1.22,43,57.91
104,162,77,143,35,51,1.08,47,58.35
132,270,98,169,28,59,1.44,45,59.62
137,304,103,167,31,59,1.55,47,59.48
159,312,120,172,21,50,1.43,66,40.53
179,332,135,185,23,60,1.47,39,40.52
94,239,69,80,25,25,1.39,27,79.58
62,184,43,52,26,22,1.15,34,78.98
101,253,75,90,29,24,1.26,49,59.11
85,163,62,83,24,26,0.98,73,79.2
88,130,65,99,21,45,0.98,59,79.53
119,203,89,128,32,47,1.1,39,58.79
157,215,118,150,19,44,1.38,18,40.66
127,188,95,128,19,36,1.56,16,60.61
78,160,57,74,21,30,1.55,15,80.02
42,53,28,41,19,26,1.29,32,99.67
82,186,60,93,19,31,1.28,60,79.98
114,287,85,120,23,46,1.47,29,60.02
132,323,100,138,18,49,1.66,9,60.86
32,33,21,29,28,21,1.29,15,98.7
51,130,33,50,36,19,0.84,49,77.57
65,140,44,75,23,26,0.73,70,78.87
66,133,46,76,34,28,0.73,68,77.79
97,177,72,119,30,41,1.09,71,78.81
133,212,101,158,31,55,1.4,57,59.31
157,220,119,177,29,69,1.52,36,39.81
189,259,142,172,35,40,1.65,47,39.57
132,159,100,123,32,31,1.45,50,59.25
185,246,139,189,37,54,1.79,45,39.48
206,311,160,211,20,62,1.86,28,41.46
216,339,167,204,17,52,1.69,29,41.66
152,310,114,143,20,40,1.81,25,40.95
41,33,28,37,27,22,1.93,22,99.51
55,101,37,56,21,23,1.15,40,79.42
74,187,53,71,21,25,1.33,25,79.76
25,10,17,22,18,21,1.45,25,99.82
21,11,12,18,13,20,1.22,40,100.04
47,95,32,42,15,18,0.99,44,99.81
54,123,37,54,11,17,0.79,52,80.06
70,191,50,62,26,21,0.96,42,78.86
92,226,68,88,13,19,0.97,46,80.35
60,98,42,49,13,20,1.13,34,80.25
46,54,32,38,9,18,1.01,29,100.43
36,27,24,32,16,18,0.97,28,99.61
73,213,52,64,18,16,0.86,51,79.58
101,292,75,101,17,24,0.94,63,59.99
98,255,72,113,17,37,1.12,51,80.14
104,243,77,119,17,41,1.26,67,60.33
120,250,90,130,16,48,1.45,69,60.75
113,198,84,112,28,27,1.17,80,59.21
105,173,78,103,10,24,1.05,88,60.83
157,301,120,147,14,28,1.27,78,41.07
218,288,185,249,39,19,0.98,71,38.93
73,147,52,65,12,13,0.7,68,80.02
98,298,73,95,21,13,1.08,63,79.71
110,326,82,105,13,13,1.25,71,60.77
106,298,79,98,23,19,1.38,39,59.87
46,71,32,38,25,18,1.31,25,99.13
71,157,51,63,21,20,1.3,21,79.71
50,64,34,47,20,21,1.55,13,99.89
67,135,48,58,9,25,1.42,20,81
83,200,60,71,9,26,1.35,28,81.05
47,96,31,44,8,25,1.18,21,100.69
27,9,18,22,14,16,1.2,27,99.98
67,212,48,61,20,15,0.92,69,79.4
84,270,61,76,19,16,0.9,76,79.61
66,119,46,58,17,14,0.7,84,79.46
75,115,52,80,21,28,0.89,72,79.31
101,210,73,125,23,51,1.2,52,59.63
153,283,117,177,32,67,1.63,50,39.6
183,318,140,192,31,58,1.62,62,39.92
102,201,74,117,14,38,1.05,58,60.39
91,227,66,104,11,38,0.95,50,80.51
113,260,82,139,18,46,1.25,58,60.27
95,175,64,110,13,36,0.84,70,80.18
79,181,54,86,8,29,0.8,50,80.54
87,318,60,95,8,27,0.82,47,80.62
48,89,32,46,21,20,0.86,32,99.08
43,84,28,40,27,18,0.72,56,98.3
39,55,24,35,19,13,0.65,59,98.99
39,54,25,37,19,20,0.77,54,99.12
66,154,47,69,17,27,0.93,52,79.7
94,244,69,98,25,33,0.98,62,79.17
137,332,104,136,35,45,1.12,31,58.66
144,351,108,153,41,44,1.37,42,58.35
101,342,70,133,27,47,1.04,62,59.04
99,320,71,139,22,53,0.87,72,79.38
129,307,97,125,7,51,1.19,22,61.46
101,280,75,107,22,36,1.57,19,60.12
36,16,23,30,25,21,1.01,49,98.74
51,112,35,48,16,21,0.85,54,79.6
55,129,38,53,21,23,0.86,67,79.14
74,197,53,66,21,28,1.02,41,79.45
39,28,24,35,14,25,1.14,29,99.98
55,92,35,58,23,25,1.21,33,79.26
64,199,44,67,9,34,1.54,8,81.08
56,210,35,62,10,22,1.19,32,80.54
32,18,19,25,21,19,1.02,47,99.11
40,44,26,39,13,18,0.72,35,99.68
28,12,17,26,16,20,0.9,20,99.47
36,20,23,35,15,20,0.92,15,99.65
27,11,16,26,18,22,1.12,16,99.48
44,59,27,44,17,22,1.14,13,99.71
41,46,26,39,21,23,1.27,9,99.43
39,27,25,37,14,20,1.08,39,99.93
39,50,23,36,13,23,1.23,25,100.16
56,161,34,64,19,28,1.15,29,79.59
57,142,39,65,21,27,1.12,17,79.41
29,17,14,26,21,19,0.97,48,99.01
63,156,29,74,18,20,0.75,68,79.24
97,312,67,138,29,39,1.17,35,78.94
108,327,80,104,12,40,1.09,27,60.69
80,179,58,86,12,33,1.26,25,80.64
73,201,50,85,9,33,1.37,15,80.97
38,27,24,35,16,18,1.03,62,99.67
67,164,44,66,16,23,0.89,76,79.73
79,191,52,97,20,39,0.97,64,79.49
84,214,54,97,13,34,0.84,97,80.08
67,114,44,76,8,18,0.72,91,80.36
72,185,48,82,8,20,0.74,68,80.42
58,98,35,63,5,23,0.72,41,80.57
54,93,33,56,5,18,0.75,41,80.58
46,65,26,45,4,14,0.7,41,100.56
54,202,31,56,5,14,0.73,56,80.54
58,214,36,63,10,16,0.89,66,80.25
41,70,23,40,24,15,1.04,41,98.87
45,70,21,41,13,15,0.76,86,99.67
67,149,43,76,16,27,1,103,79.83
89,299,63,109,13,43,1.13,46,80.46
83,195,61,77,4,32,1.05,31,81.26
60,111,41,63,5,25,0.96,34,80.87
49,71,34,50,9,27,1.05,37,100.49
61,125,41,64,21,30,1.17,42,79.48
67,141,48,67,8,30,1.07,38,80.75
61,165,42,63,4,23,0.86,60,80.88
40,38,25,37,17,18,1.04,63,99.59
