AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3,质量指标
74,98,53,70,50,24,0.71,74,76.24
92,112,68,84,27,26,0.78,66,78.76
103,114,77,91,31,27,0.94,39,58.61
153,140,115,149,41,51,1.91,41,38.96
175,150,133,190,39,52,1.68,41,39.11
183,156,145,191,32,44,1.42,59,39.67
93,108,69,107,13,31,0.97,38,80.36
94,107,68,121,31,45,1.31,50,78.89
53,23,34,57,12,26,0.92,56,80.06
46,20,26,40,40,21,1.04,65,97.3
93,112,69,92,27,21,0.96,76,78.95
99,128,73,102,41,34,1.16,63,77.79
88,129,62,86,42,21,0.98,87,77.4
119,165,89,123,32,27,1.1,109,58.79
199,187,151,191,32,51,1.54,35,39.85
88,116,63,72,10,20,1.12,65,80.75
57,27,33,47,30,21,1.23,73,78.56
100,88,74,100,36,30,1.32,38,78.46
81,57,59,75,22,27,1.22,28,79.61
66,36,47,61,19,34,1.24,30,79.81
61,29,43,60,5,21,0.79,44,80.72
66,60,47,74,8,26,0.95,39,80.62
85,113,62,89,22,28,1.18,34,79.6
106,127,77,117,33,36,1.31,105,58.78
90,103,66,102,15,27,0.96,50,80.12
62,51,43,68,7,19,0.82,63,80.55
62,50,40,67,17,16,0.81,81,79.51
60,49,39,64,8,16,0.73,62,80.32
70,126,50,75,6,20,0.8,48,80.7
57,50,38,63,27,21,1.06,56,78.74
94,137,69,94,47,31,1.31,38,77.3
39,13,25,37,33,18,1,61,97.95
49,14,33,48,19,22,0.86,52,99.29
56,26,33,50,37,24,1.1,42,77.73
78,108,57,84,33,20,1.42,20,78.69
42,27,28,41,29,18,1.18,46,98.56
48,40,33,45,36,19,1.06,56,97.79
81,129,57,88,46,20,1.07,91,77.04
89,113,66,109,40,24,0.9,77,77.56
84,65,62,95,39,27,0.95,70,77.67
95,72,68,99,47,28,1.11,93,77.09
125,170,93,145,36,39,1.37,75,58.7
117,176,88,140,37,30,1.04,79,58.22
89,161,64,88,35,27,1.01,57,78.15
61,76,38,61,51,24,0.93,81,76.21
96,149,71,108,39,28,1,67,77.81
123,178,92,138,21,44,1.17,45,59.99
112,147,84,123,28,43,1.38,33,59.42
69,78,47,71,11,22,1.04,62,80.41
48,54,27,49,6,13,0.77,86,100.44
43,43,23,36,24,18,1.01,64,98.84
64,70,35,57,37,23,1.27,98,77.92
78,71,54,87,14,33,1.1,75,80.24
60,54,38,66,8,22,0.93,88,80.51
64,56,41,60,40,19,1.1,79,77.51
110,138,83,121,37,26,1.17,95,58.3
120,156,90,129,35,29,1.23,67,58.63
83,109,61,81,30,22,1.14,50,78.75
100,125,74,101,55,24,1.37,52,76.61
83,77,61,84,41,22,1.09,75,77.6
73,59,50,74,18,24,0.89,71,79.59
56,40,21,36,22,18,0.8,97,78.81
75,92,54,89,32,30,1.04,59,78.38
60,90,34,59,9,16,0.75,91,80.19
51,40,27,46,12,16,0.67,82,79.74
56,40,36,57,46,19,1.03,68,76.79
112,97,84,124,53,37,1.38,60,56.92
122,133,92,135,32,36,1.46,79,59.18
77,47,50,73,28,31,1.07,78,78.77
55,34,29,46,9,23,0.75,81,80.14
51,35,29,48,8,23,0.8,71,80.29
50,52,28,44,8,16,0.77,82,100.25
61,91,30,44,20,16,0.74,97,79.04
57,68,38,60,23,19,0.76,70,78.84
59,58,38,58,23,23,0.82,68,78.9
51,38,17,25,25,22,0.87,82,78.54
63,68,44,61,20,33,0.97,59,79.41
68,96,48,68,29,20,1.16,73,78.74
100,135,73,100,34,22,1.03,94,78.36
129,173,97,127,49,30,1.15,89,57.22
109,165,81,99,26,23,1.13,81,59.34
106,164,79,94,33,32,1.34,72,58.83
121,162,90,117,48,29,1.34,95,57.44
146,170,107,148,42,36,1.21,119,58.08
152,167,110,153,33,33,1.1,123,38.9
148,161,111,159,25,36,1.16,119,59.77
128,143,90,133,29,38,1.12,114,59.12
77,114,55,75,21,27,1.15,86,79.6
42,27,21,35,6,16,0.73,70,100.34
48,56,19,34,24,14,0.82,79,98.61
49,66,30,49,15,22,0.86,62,99.66
43,47,27,40,16,21,0.93,67,99.6
49,61,32,46,34,20,1.17,80,98.09
73,108,50,61,43,27,1.24,67,77.44
77,104,51,63,24,21,1.06,60,79.17
38,25,21,34,10,17,0.74,59,99.95
47,49,24,43,22,16,0.73,67,98.77
50,63,30,50,13,22,0.69,59,99.69
56,60,39,54,31,25,0.98,62,78.27
81,121,57,79,32,24,0.87,75,78.24
63,62,43,62,34,25,0.84,66,77.87
54,43,33,52,20,21,0.72,56,79.05
40,26,20,35,10,15,0.57,69,99.77
44,30,18,34,20,17,0.65,70,98.83
44,27,25,45,9,18,0.65,60,100
43,34,27,42,19,23,0.8,43,99.17
42,25,26,41,25,19,0.7,45,98.46
64,68,37,62,31,22,0.89,74,78.16
79,114,46,87,18,27,0.94,81,79.6
55,64,31,55,10,21,0.8,69,80.11
65,85,35,64,24,25,0.9,88,78.85
53,59,30,51,11,15,0.7,83,79.9
51,64,29,46,9,14,0.7,78,80.09
49,62,29,51,16,16,0.76,66,99.45
51,62,25,44,22,17,0.81,74,78.86
43,45,21,41,9,18,0.75,60,100.06
42,50,21,42,9,16,0.67,52,99.98
51,62,27,47,24,18,0.77,74,78.64
57,77,36,62,26,19,0.8,64,78.56
34,26,16,30,13,11,0.62,55,99.48
44,48,24,44,19,20,0.84,46,99.18
61,98,32,59,32,25,1.01,81,78.13
82,143,58,104,47,33,1.22,69,77.1
115,186,81,130,66,39,1.38,95,55.59
96,165,60,99,64,32,1.22,114,75.42
78,146,56,89,31,30,1.02,73,78.48
60,45,27,44,14,16,0.8,95,79.67
